Algorithms                , Algorithm_ID         , DPA_METHODS, FEE_METHODS, FES_METHODS, CLF_METHODS, END_METHODS       , END_TO_END_METHODS, DPA_METHODS_ID, FEE_METHODS_ID, FES_METHODS_ID, CLF_METHODS_ID, END_METHODS_ID, END_TO_END_METHODS_ID, train_score       , test_score         , train_time          , test_time
TLDUMMY-CSP-SVM           , "[0, 1, 0, 1, 0, 0]" , TLDUMMY    , CSP        ,            , SVM        ,                   ,                   ,              0,              1,              0,              1,              0,                     0, 0.5083333333333333, 0.49166666666666664, 0.2857987880706787  , 0.14502525329589844
TLDUMMY-CSP-LDA           , "[0, 1, 0, 2, 0, 0]" , TLDUMMY    , CSP        ,            , LDA        ,                   ,                   ,              0,              1,              0,              2,              0,                     0, 0.8916666666666667, 0.8916666666666667 , 0.29259252548217773 , 0.14623570442199707
TLDUMMY-CSP-LR            , "[0, 1, 0, 3, 0, 0]" , TLDUMMY    , CSP        ,            , LR         ,                   ,                   ,              0,              1,              0,              3,              0,                     0, 0.8               , 0.8416666666666667 , 0.27781057357788086 , 0.1454944610595703
TLDUMMY-CSP-KNN           , "[0, 1, 0, 4, 0, 0]" , TLDUMMY    , CSP        ,            , KNN        ,                   ,                   ,              0,              1,              0,              4,              0,                     0, 0.9583333333333334, 0.8666666666666667 , 0.27269458770751953 , 0.14802145957946777
TLDUMMY-CSP-DTC           , "[0, 1, 0, 5, 0, 0]" , TLDUMMY    , CSP        ,            , DTC        ,                   ,                   ,              0,              1,              0,              5,              0,                     0, 1.0               , 0.875              , 0.28292226791381836 , 0.1480543613433838
TLDUMMY-CSP-RFC           , "[0, 1, 0, 6, 0, 0]" , TLDUMMY    , CSP        ,            , RFC        ,                   ,                   ,              0,              1,              0,              6,              0,                     0, 1.0               , 0.8916666666666667 , 0.36197924613952637 , 0.14206314086914062
TLDUMMY-CSP-ETC           , "[0, 1, 0, 7, 0, 0]" , TLDUMMY    , CSP        ,            , ETC        ,                   ,                   ,              0,              1,              0,              7,              0,                     0, 1.0               , 0.875              , 0.3350682258605957  , 0.15002965927124023
TLDUMMY-CSP-ABC           , "[0, 1, 0, 8, 0, 0]" , TLDUMMY    , CSP        ,            , ABC        ,                   ,                   ,              0,              1,              0,              8,              0,                     0, 0.9333333333333333, 0.875              , 0.33149003982543945 , 0.15326547622680664
TLDUMMY-CSP-GBC           , "[0, 1, 0, 9, 0, 0]" , TLDUMMY    , CSP        ,            , GBC        ,                   ,                   ,              0,              1,              0,              9,              0,                     0, 1.0               , 0.8833333333333333 , 0.38903355598449707 , 0.1380786895751953
TLDUMMY-CSP-GNB           , "[0, 1, 0, 10, 0, 0]", TLDUMMY    , CSP        ,            , GNB        ,                   ,                   ,              0,              1,              0,             10,              0,                     0, 0.65              , 0.6666666666666666 , 0.2966756820678711  , 0.13560819625854492
