Algorithms                , Algorithm_ID         , DPA_METHODS, FEE_METHODS, FES_METHODS, CLF_METHODS, END_METHODS       , END_TO_END_METHODS, DPA_METHODS_ID, FEE_METHODS_ID, FES_METHODS_ID, CLF_METHODS_ID, END_METHODS_ID, END_TO_END_METHODS_ID, accuracy          , train_time           , test_time
TLDUMMY-CSP-SVM           , "[0, 1, 0, 1, 0, 0]" , TLDUMMY    , CSP        ,            , SVM        ,                   ,                   ,              0,              1,              0,              1,              0,                     0, 0.9266666666666667,   0.27504982948303225, 0.16056294441223146
TLDUMMY-CSP-LDA           , "[0, 1, 0, 2, 0, 0]" , TLDUMMY    , CSP        ,            , LDA        ,                   ,                   ,              0,              1,              0,              2,              0,                     0, 0.8944444444444445,   0.24429972171783448, 0.12841908931732177
TLDUMMY-CSP-LR            , "[0, 1, 0, 3, 0, 0]" , TLDUMMY    , CSP        ,            , LR         ,                   ,                   ,              0,              1,              0,              3,              0,                     0, 0.9244444444444445,   0.27467167377471924, 0.21578657627105713
TLDUMMY-CSP-KNN           , "[0, 1, 0, 4, 0, 0]" , TLDUMMY    , CSP        ,            , KNN        ,                   ,                   ,              0,              1,              0,              4,              0,                     0, 0.891111111111111 ,   0.23616476058959962, 0.20431938171386718
TLDUMMY-CSP-DTC           , "[0, 1, 0, 5, 0, 0]" , TLDUMMY    , CSP        ,            , DTC        ,                   ,                   ,              0,              1,              0,              5,              0,                     0, 0.8355555555555556,   0.25289359092712405, 0.20758399963378907
TLDUMMY-CSP-RFC           , "[0, 1, 0, 6, 0, 0]" , TLDUMMY    , CSP        ,            , RFC        ,                   ,                   ,              0,              1,              0,              6,              0,                     0, 0.9055555555555556,   0.4083017110824585 , 0.20108201503753662
TLDUMMY-CSP-ETC           , "[0, 1, 0, 7, 0, 0]" , TLDUMMY    , CSP        ,            , ETC        ,                   ,                   ,              0,              1,              0,              7,              0,                     0, 0.8933333333333333,   0.36177046298980714, 0.21047322750091552
TLDUMMY-CSP-ABC           , "[0, 1, 0, 8, 0, 0]" , TLDUMMY    , CSP        ,            , ABC        ,                   ,                   ,              0,              1,              0,              8,              0,                     0, 0.8866666666666667,   0.34603874683380126, 0.20171146392822265
TLDUMMY-CSP-GBC           , "[0, 1, 0, 9, 0, 0]" , TLDUMMY    , CSP        ,            , GBC        ,                   ,                   ,              0,              1,              0,              9,              0,                     0, 0.8977777777777778,   0.3905997037887573 , 0.18880441188812255
TLDUMMY-CSP-GNB           , "[0, 1, 0, 10, 0, 0]", TLDUMMY    , CSP        ,            , GNB        ,                   ,                   ,              0,              1,              0,             10,              0,                     0, 0.6444444444444445,   0.24444193840026857, 0.18446025848388672
