Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDUMMY,CSP,,SVM,,,0,1,0,1,0,0,0.792,0.6,1.0365500450134277,0.14933114051818847
TLDUMMY-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDUMMY,CSP,,LDA,,,0,1,0,2,0,0,0.7959999999999999,0.6055555555555554,0.7984902620315552,0.13057231903076172
TLDUMMY-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDUMMY,CSP,,LR,,,0,1,0,3,0,0,0.7846666666666666,0.5933333333333334,0.4097447395324707,0.16865091323852538
TLDUMMY-CSP-KNN,"[0, 1, 0, 4, 0, 0]",TLDUMMY,CSP,,KNN,,,0,1,0,4,0,0,0.8160000000000001,0.5855555555555554,0.2270988941192627,0.19545996189117432
TLDUMMY-CSP-DTC,"[0, 1, 0, 5, 0, 0]",TLDUMMY,CSP,,DTC,,,0,1,0,5,0,0,1.0,0.55,0.2299579381942749,0.18934836387634277
TLDUMMY-CSP-RFC,"[0, 1, 0, 6, 0, 0]",TLDUMMY,CSP,,RFC,,,0,1,0,6,0,0,1.0,0.5933333333333333,0.38723866939544677,0.20727756023406982
TLDUMMY-CSP-ETC,"[0, 1, 0, 7, 0, 0]",TLDUMMY,CSP,,ETC,,,0,1,0,7,0,0,1.0,0.6033333333333333,0.33322744369506835,0.1818953275680542
TLDUMMY-CSP-ABC,"[0, 1, 0, 8, 0, 0]",TLDUMMY,CSP,,ABC,,,0,1,0,8,0,0,0.9346666666666668,0.5866666666666666,0.31935484409332277,0.1934587240219116
TLDUMMY-CSP-GBC,"[0, 1, 0, 9, 0, 0]",TLDUMMY,CSP,,GBC,,,0,1,0,9,0,0,1.0,0.581111111111111,0.40491034984588625,0.17529191970825195
TLDUMMY-CSP-GNB,"[0, 1, 0, 10, 0, 0]",TLDUMMY,CSP,,GNB,,,0,1,0,10,0,0,0.706,0.5788888888888889,0.2345984697341919,0.18138692378997803
TLDUMMY-CSP-MLP,"[0, 1, 0, 11, 0, 0]",TLDUMMY,CSP,,MLP,,,0,1,0,11,0,0,0.8486666666666667,0.5988888888888889,0.7076939582824707,0.1672131061553955
TLDUMMY-CSP-ANOVA-K-SVM,"[0, 1, 1, 1, 0, 0]",TLDUMMY,CSP,ANOVA-K,SVM,,,0,1,1,1,0,0,0.792,0.6,0.24439506530761718,0.18299882411956786
